=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === -42.73 -42.01 === === -19.40 -13.29 -8.89 -3.47 -5.63 === === -23.35 -26.97 -31.55 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -258.02 === === === === === === -304.11 === -312.22 === === === === -345.06 === === -363.64 -368.99 -375.68 -379.67 -388.62 -390.00 -397.97 -407.16 === === -421.22 === === === -444.77 === === === === -476.35 -483.89 -487.18 === === === === -519.31 === === 
=== === === === === === === -21.67 -16.08 -12.89 -8.77 === === === -24.30 -26.15 -33.06 === === === === === === === === === === === === === === === === === === === -151.39 === === === === === === === === === === === === === === === === === === === === === === === === === -309.67 === === -325.77 -334.97 === === === -358.93 -362.99 -370.46 -372.29 -380.13 -385.98 -390.43 === === === -416.97 -422.27 -427.19 -436.22 -439.87 -447.72 -454.97 -457.90 === === -474.96 === === -492.37 === === === -519.64 === === 
=== === === === === === === -23.22 -21.53 -20.71 -14.80 === -15.84 === === -32.23 -34.64 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -319.05 === === === === -353.58 -357.34 -361.87 === -375.35 -379.32 -388.45 -394.72 -400.60 === -409.97 -416.19 -420.94 -426.82 -432.35 -438.93 -448.36 -453.30 -459.49 -463.81 === === === === === === === === -519.75 === === 
=== === === === === === === -30.72 -23.89 -22.10 -20.91 === === === === -35.14 -36.91 -43.13 === === -62.28 -65.35 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -286.43 === === === === === === === === === === -353.27 -356.70 -365.18 -371.96 -374.11 -378.83 -388.62 -395.00 -398.61 -405.84 -412.71 -419.14 -424.67 -428.37 -437.01 -443.85 -449.33 -452.84 -456.82 -468.16 -468.57 -478.72 === === === === === === -518.55 === === 
=== === === === === === -35.13 -35.49 -31.09 -30.28 -28.87 -26.97 === === === -38.67 -41.44 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -293.60 -295.53 === === === === === === -340.11 -343.39 -351.71 -359.87 -364.76 -371.05 -374.56 -381.48 -390.28 -393.16 -402.24 -403.95 -412.85 -420.11 -423.89 === -435.74 -440.07 -450.64 -453.38 -459.44 -465.00 === === === === -496.65 === === === -518.49 === === 
=== === === === === === === -40.59 -35.00 -37.72 -34.20 -33.13 === === === -43.76 -47.65 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -297.68 === === === === === === -339.32 -349.59 -353.31 -356.03 === -368.66 -378.23 -381.82 -387.30 -396.18 -401.54 -409.05 -415.09 -415.78 -422.57 -429.17 -435.10 -443.40 -447.77 -454.25 -463.09 -463.91 -469.17 === === === === === === === -519.69 === === 
=== === === === === === === -43.32 -42.97 -38.65 === === === === === -50.40 -53.22 -55.38 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -303.95 === === === === === === === -354.23 -362.38 -363.17 -371.38 -375.95 -382.34 -386.71 -394.40 -403.43 -406.77 -411.81 -418.30 -427.15 -431.81 -438.00 -444.46 -449.88 -456.98 -462.01 -464.67 -471.22 === === -492.76 === === === === -521.89 === === 
=== === === === === === === -49.68 -48.22 -46.07 === -43.04 === -46.95 === -52.54 -54.81 -59.48 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -301.73 === -309.69 -318.54 === === === -341.47 === -351.11 === -365.63 -373.69 -378.33 === === -394.37 -404.19 -404.84 -412.52 === -427.87 -431.10 -435.96 -440.96 -450.61 -458.27 -463.57 -467.61 === === === === === -502.66 === === -522.18 === === 
=== === === === === === === === -52.88 -52.18 -50.09 === === === -56.49 === -58.84 === === === === === === === === === === === === === === -136.36 === === === === === === === === === === === === === === === === === === === -248.81 === === -266.99 === === === === -298.67 -299.05 -307.19 === -320.10 === -330.53 === === === === === === -369.47 === === === === -400.97 -409.14 -411.62 -417.82 -424.80 -431.74 -435.47 -443.84 -451.29 -453.78 -464.34 -465.12 -472.83 === === === === === === === -520.80 === === 
=== === === === === === === -58.22 -58.94 === === -57.43 === -60.31 === === -68.88 -68.25 === === === === === === === === === === -117.53 === === === === === === === === === === === === === === === === === === === === === === === === -262.33 === === -278.27 -286.69 -291.43 -295.11 -302.98 -309.56 -314.15 -319.11 === -331.86 === === === === === === === === === === -399.11 -400.37 -410.81 -414.14 -418.60 -424.05 -435.59 -440.16 -443.39 -450.14 -455.40 -463.19 -465.88 -475.60 === === === === === === === -522.01 === === 
=== === === === === === === -67.09 -62.71 -63.38 -60.82 === === === === -69.77 -70.23 -72.63 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -230.14 === === === === === -260.88 -267.76 -272.96 -281.82 -283.32 -293.56 -294.50 === === === === === === === === === === === === === === === === -399.01 -402.29 === -414.60 -423.32 -429.87 -432.82 -442.32 -445.97 -454.26 -454.91 -465.51 -471.43 -474.15 === === === === === === === -520.45 === === 
=== === === === === === === -72.19 -69.07 === -70.63 === -67.64 -72.51 === -77.01 -77.93 -76.53 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -271.22 -278.06 -282.43 === === -297.57 === === === -320.19 === === === === === === === === -372.56 === === === === === -411.59 -415.91 -423.84 -429.08 -437.05 -438.49 -449.26 -449.79 -458.19 -462.91 -470.85 === === === === === === === === -523.41 === === 
=== === === === === === === === -79.20 === -78.05 === === === === === -80.26 -86.38 === === === === === === === === === === -126.64 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -289.11 === === === === -318.89 === === === === === === === === === === === === -393.05 -397.55 === === -420.02 -425.67 -431.64 -434.89 -442.37 -448.67 === === -462.25 -469.34 === === === === === === === -519.78 -524.60 === === 
=== === === === === === === === -80.77 -83.47 -83.49 -82.42 === === === -86.82 -87.50 -88.79 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -430.71 -437.20 === -445.82 === -457.76 === === -475.83 === -489.30 === === === === === -523.63 === === 
=== === === === === === === -88.25 -88.67 -90.38 -87.97 === -86.99 === === -89.04 -96.22 -94.71 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -427.59 === -436.43 === -451.80 -453.01 -463.86 === === === -482.37 === === === === === === -524.95 === === 
=== === === === === === === === -96.77 -92.19 === -91.90 === -96.09 === === -99.33 -99.08 === === === === === === === === === === -140.47 -148.21 === === === === === === === === === === === === -214.19 -216.75 === === === === -242.83 === === === -268.65 === === === -286.68 === === === === === -325.46 === -332.39 -342.24 === -354.75 === === -366.87 === === -384.08 === -401.58 -406.44 -411.90 -414.96 -421.45 -426.72 === === === === -454.41 === === === === === -492.04 === === === === === -526.28 === === 
=== === === === === === === === -103.17 -100.69 -100.51 === === === -102.16 -100.03 -103.45 -105.49 === === === === === === === === === === -145.05 -146.69 === === === === -169.20 === === === === === === === === === === === === === === -250.47 === -261.36 === === === === === === === -307.61 === -318.27 -324.31 === === -342.98 === === === === === === === -387.47 -391.65 -401.02 -405.36 -410.62 -415.78 === -426.34 === === === === === === === === === === -493.15 -495.59 === === === === -527.34 === === 
=== === === === === === === -108.01 -108.95 -106.30 === -102.66 === === === -109.47 -109.73 -109.53 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -417.86 -422.77 === -433.28 === === === === === === === === === === === -505.60 === === === -531.50 === === 
=== === === === === === === === -111.73 -110.84 -113.05 -112.17 === -109.63 -114.95 -112.71 -117.95 -117.77 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -421.64 === === === === === -457.31 === === -470.02 === -481.70 === === === === === === === -529.82 === === 
=== === === === === === === === -120.23 -119.68 -118.93 === === === === === -120.43 -124.52 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -423.90 === === -439.82 === === === -459.98 -471.22 -472.66 === === -490.68 === === === === === === -531.43 === === 
=== === === === === === === -123.60 -126.04 -121.35 === === === === === -126.12 -128.57 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -424.56 === === === === === === === -468.73 -473.09 === === -492.73 === === === === === -529.29 -533.25 === === 
=== === === === === === === -129.53 -128.56 -129.33 -131.30 -129.55 === === === === -134.14 -134.52 === === === === === === === === === -165.64 -167.61 === -177.80 === === === === -196.83 -201.59 === -211.80 -217.24 -219.74 -226.06 -231.61 -236.57 -238.57 -244.62 -249.10 -255.48 -260.01 -264.82 -270.02 === === === === === -303.28 -309.10 -314.25 -316.39 -322.20 -331.08 -334.49 -343.30 -345.54 -353.52 -360.44 -361.36 -371.47 -376.53 -378.91 -388.31 === === -403.52 === -412.07 -420.41 -422.99 === === === === -452.25 === === === === === -487.63 === === === === === === === -536.13 === === 
=== === === === === === === -138.05 -134.99 === -133.29 -136.13 -136.38 -134.25 === -138.52 -141.77 === === === === === === === === === -166.74 -167.76 -168.30 === -177.39 === === === === === === -208.88 === === === === === -236.77 -240.89 -245.60 -251.94 -254.16 -260.78 -265.97 -270.34 === === === === === -302.40 -309.67 -314.44 -323.24 -326.74 -333.86 -338.69 -339.82 -345.22 -352.76 -357.72 -361.89 -368.42 -373.19 -380.98 === === === === === === -418.03 -426.23 === === === === -454.56 === === -475.40 === -485.39 -490.59 -494.08 -499.72 === === === === === -537.15 === === 
=== === === === === === === -145.13 -142.45 -142.92 -141.62 === === === === -146.79 -141.93 === === === === === === === === === -169.11 -170.84 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -308.37 -315.27 === -324.05 -329.49 -334.69 -336.87 === -352.72 === === === === === === === === === -408.65 === === -422.23 === -432.93 === === === === === -470.46 -474.13 === -486.43 -490.81 === === === === === === === -537.94 === === 
=== === === === === === === -147.17 -146.39 === === === -144.38 -146.52 === -149.16 -148.84 === === === === === === === === === -174.40 -175.62 === === === === === === === === === === === === === === === === === === === === === === === -282.71 === === === === === -314.10 -319.75 === === -338.54 -344.58 -351.28 === -359.89 -362.63 -368.01 === === === === === === === === === -424.51 === === === === === === === === -478.17 -480.70 === === === === === === === === -534.97 -539.11 === === 
=== === === === === === === -151.81 -153.69 -152.47 -152.77 -155.14 -151.25 -152.24 -156.05 -156.69 === === === === === === === === === === -178.52 === === === === === === === === === === === === === === === === === === === === === === === === -288.80 -289.23 === === === === === -320.29 === -336.44 -337.40 -347.66 -351.63 -357.16 -360.81 === === -377.75 -381.54 -387.94 === === === === === === === === === === === -453.31 === === === === === === === === === === === === -532.02 -537.30 -538.20 === === 
=== === === === === === === -159.45 === -159.90 -158.06 -157.96 -156.94 -156.62 -161.14 -159.01 === === === === === === === === === -182.53 -183.51 === === === === === === === -215.14 === === === -228.03 === === === === === === === === === === === === === -296.21 -298.60 === === === === === === === === -349.51 -355.75 -357.30 === -368.51 === -378.27 === -388.77 -395.63 === === -411.43 -417.51 === === === === -446.82 === === === === -472.81 -477.67 === === === === === === === -526.38 -529.18 -534.58 === === === 
=== === === === === === === -169.21 -167.50 -167.78 -164.59 -168.05 === === -167.91 -166.02 === === === === === === === === === -188.17 -189.86 === -195.05 === === === === -212.45 -214.19 -222.92 -225.09 -229.21 -234.76 -240.71 -244.04 -246.28 -254.56 -255.38 -260.10 -266.29 -269.89 === === === === === === -304.89 === === === === === -334.22 === === === -356.48 -358.79 -366.13 === === -383.15 === -392.57 -397.19 -403.60 -410.96 === === === === === -441.58 === === === === === -474.48 === === === === === === === -523.92 -525.15 === === === === === 
=== === === === === === === -173.48 -173.78 -168.74 -169.43 -168.91 -173.59 -171.50 -174.74 -170.35 === === === === === === === === === -192.51 === === === === === === === -221.30 -221.00 -222.23 -225.99 === -237.14 === -245.32 -248.46 -254.82 -260.26 -263.09 -268.19 -274.63 -276.54 === === === === === === -310.13 === === === === === === === === === === -367.82 -376.62 -376.89 === === -397.44 -401.35 -407.89 === === -422.18 === === -441.75 === === === === === === === === === === === === -515.90 -519.29 -521.34 === === === === === === 
=== === === === === === === -175.11 -178.28 === === -175.96 -175.05 -177.90 -177.82 === === === === === === === === === -197.25 -198.34 === === === === -211.01 -216.01 -221.24 -221.84 -229.20 -232.16 -231.92 -240.36 === -243.61 -248.19 -252.31 -257.29 -266.05 -268.13 -271.70 -278.62 -280.00 -287.89 -290.80 -292.80 -299.00 === === -316.88 -318.72 === === === === -348.61 -351.04 === === === === === === === -394.22 -399.52 -407.06 -408.52 -414.78 === -424.58 === === === -448.56 -455.81 -455.96 === === === === === === === === -510.42 -512.12 -519.69 === === === === === === === 
=== === === === === === === -184.66 -180.80 -185.89 -184.22 -183.61 -183.66 -185.17 -181.87 === === === === === === === === === -199.53 -199.28 === === === === === -222.27 -223.94 -228.17 -229.98 -236.37 -240.99 -243.60 -248.01 === -253.06 -259.97 -263.02 -269.32 -275.00 -273.94 -278.32 -285.57 -292.50 -292.88 -299.92 -303.04 === === -320.44 -320.85 === === === === -348.94 -353.54 === === === === === === === -392.62 === -409.99 -410.56 -417.85 -419.76 === -434.95 === -446.70 -453.01 -454.34 === === === === === === === === -507.37 -509.42 -516.60 === === === === === === === === 
=== === === === === === -193.34 -189.09 -189.17 === -188.67 === -189.68 -191.13 -188.77 === === === === === === === === === -204.42 === === === === === -222.09 -224.83 -229.55 -232.37 -236.39 === === -247.61 -251.78 === === === -269.12 -272.24 -276.14 -280.60 -282.84 -289.06 -290.68 -295.30 === -309.25 -314.27 === === -326.37 === === === === === -359.68 -360.14 === === === === -387.45 === -399.91 === -412.59 === -421.64 -424.06 -434.20 -437.41 -444.94 -449.31 -451.79 -456.93 === === === === === === === -502.99 -507.06 === === === === === === === -554.17 === === 
=== === === === === === -195.66 -195.57 -196.18 === === -196.41 -196.15 -195.53 -193.26 === === === === === === === === -209.86 -211.61 === === === === === -230.59 -228.26 -234.33 -237.70 -237.27 === === === -258.43 -259.31 === === === === === === -289.00 -293.31 -296.33 -303.63 -304.84 === === -318.07 -325.31 -331.82 -337.45 === === === === === -365.28 === === === === === === -402.83 -407.47 === === === === -434.13 -438.39 -442.39 -446.01 === -459.04 -462.56 === === === === === -501.67 -504.22 === === === === === === === -548.27 -555.16 === === 
=== === === === === === === -200.41 -202.08 === -203.51 -202.97 -198.73 -202.78 -199.51 === === === === === === === === -216.35 -215.68 === === === === === -233.52 -237.64 === === === === === === === === === === === === === === -293.55 -295.19 -301.89 -305.95 === -316.39 === === -330.88 -333.53 -342.19 -343.10 === === === === -371.85 -370.48 === === === === === === -410.83 -413.24 -419.15 === -431.23 -439.83 -440.43 -445.90 === === === === === === === === -497.30 -501.65 === === === === === === === -549.20 -551.15 -558.96 === === 
=== === === === === === -209.84 -209.94 -205.98 -204.29 === -204.67 -204.21 -208.90 === === === === === === === === === -221.64 === === === === === -236.45 -234.81 === -240.56 -247.57 === === === === === === === -275.46 -280.74 === === === === -300.93 -303.58 -309.68 -314.24 -318.08 -322.62 === -331.20 -337.94 -345.16 -346.17 === === === === -372.06 -378.95 -382.32 === === === === === -414.34 -419.18 === === -434.79 -437.80 -441.65 -448.89 === === === === === === -490.15 -494.68 -496.49 === === === === === === === === -550.24 -555.80 -556.76 === === 
=== === === === === === -211.84 === -212.32 === -210.70 -212.46 -212.76 -211.89 === === === === === === === === -226.86 -224.23 === === === === -241.08 -239.81 === -244.57 === === === === === === -271.83 === === -282.57 -283.01 === === === === === -307.02 === -318.74 === === === === -343.55 -346.40 -355.08 -352.75 === === === === -380.69 -388.10 === === === -407.33 === === -422.62 === === === -440.63 -447.69 -451.36 === === === === === -488.25 -490.15 -493.44 === === === === === === === -537.59 === === === -561.35 === === 
=== === === === === === -217.80 -219.45 === -220.07 -221.40 -217.73 -218.30 -217.62 === === === === === === === === -228.77 -230.53 === === === -242.76 -246.62 -243.98 -250.47 === === === === === === === -274.40 -277.46 === === -290.36 === === === === === -313.52 -320.20 -321.80 === -333.85 === === === -349.75 === -358.17 === === === === === -390.39 -391.94 === === === === === -425.23 -426.74 -434.02 -439.69 -444.43 -452.84 -454.82 -462.33 === === === -484.57 -487.03 -491.33 === === === === === === === === === === === -556.59 -562.47 === === 
=== === === === === === -226.32 -224.67 -228.48 -227.50 === -226.21 -227.54 -224.26 === === === === === === === === === === === === === === -250.92 -249.90 -251.18 === === === === === === === === === === === === -297.63 === === === === === === === === === === === === -354.79 -357.88 -363.59 -367.60 === === === === -394.54 -396.42 === === === === === === === -436.49 -443.59 -446.52 -455.23 -457.52 -466.82 === === === -486.12 -487.27 === === === === === === === === === === -549.22 -554.46 -562.64 -564.74 === === 
=== === === === === === -232.39 === -228.99 -228.44 -230.31 -233.90 -232.42 -231.92 === === === === === === === === === === === === === -254.71 -252.37 -254.70 === === -266.13 -269.66 -269.77 === === -282.13 === -286.37 -291.41 === === === -306.39 === === === === === -332.10 === === === === === -357.17 -365.49 -363.66 -369.32 -376.06 === === === === -402.17 -405.05 === === -421.77 === === -436.78 -438.22 -449.13 -452.67 -457.61 -459.28 -467.73 === === -480.40 -483.99 === === === === === === === === === === === -549.58 -559.41 -560.86 -566.33 === === 
=== === === === === -240.22 -240.05 -239.87 === === === -237.17 -235.61 === === === === === === === === === === === === === === -257.30 -256.74 === === === === === === === -280.32 === === -292.08 === === === -304.98 === === === === === === === === === === -353.16 === -361.81 -368.82 -371.36 -375.70 -380.86 === === === === -404.35 -407.00 -413.31 === -424.22 === === -436.28 === -451.45 -456.47 -458.53 -462.59 === -476.51 -479.16 -481.98 === === === === === === === === === === === === === -562.08 === -567.56 === === 
=== === === -244.42 === -243.20 -241.76 -241.65 -242.70 -245.96 === === -242.08 === === === === === === === === === === === === === -263.34 -264.61 === -267.64 === -272.86 === -278.55 -281.64 -282.98 -287.59 === === -295.20 === === === === === === === === === === === -346.76 === === === -360.95 === -370.88 -372.85 === -385.82 -387.19 === === === === -415.78 -418.37 -425.06 === === === === -447.88 -452.82 -457.49 -463.37 -464.42 -472.63 -477.18 === === === === === === === === === === === === === === -560.23 -563.52 -568.61 -569.60 === === 
=== === === === === -252.27 -247.70 === === === -249.72 === -250.55 === === === === === === === === === === === === === -266.48 -265.74 === -271.32 === === -281.81 === === === -292.77 === -299.63 === -303.20 === === === === -326.63 === === === === === === -351.11 -355.81 === === -369.52 -372.16 -378.59 -382.50 -390.22 -394.34 === === === === -416.11 -417.18 -425.58 === -436.88 === === -451.84 -454.46 -460.10 -468.97 -469.84 -472.81 === === === === === === === === === === === === === === === -560.18 === -572.30 -577.21 === === 
=== === === === === -257.44 -259.04 === === === -256.13 -252.54 -254.82 === === === === === === === === === === === === === -271.39 -274.63 === === -277.74 === === -289.75 -289.75 === === === -301.30 === === === === === === -330.85 -331.54 === === === === === -357.56 -359.67 === -372.83 === === === -385.38 -390.97 -398.72 -400.40 === === === === -424.29 -426.68 === -442.05 === === -453.57 -456.39 -466.06 -471.24 -472.06 === === === === === === === === === === === === === === === -558.00 -559.40 -565.94 -572.83 -579.04 === === 
=== === === === === -263.81 -264.13 === -262.62 -261.91 === -261.56 -262.51 === -262.21 === === === === === === -270.08 === === === -278.30 -274.66 -282.24 -279.40 === === -288.49 === === -298.42 -297.30 === -307.73 -307.51 === === -319.70 === === === -336.85 -333.91 === === === === === === === -368.78 === -379.06 === === -390.59 -394.62 -400.69 -404.70 === === === === === -430.66 -436.91 === === === === -460.46 -466.90 -469.33 -477.10 -480.61 === === === === === === === === === === === -546.21 === -555.55 -560.06 -564.32 === === -581.49 === === 
=== === === === === -266.61 -265.98 -270.44 -267.36 -266.65 -266.90 -266.75 -264.82 === === === === === === === === === === === === -280.14 -283.69 -282.95 === === -290.38 === === === === === -305.95 -310.45 -311.42 === === === === === === === -341.58 -344.79 === === === === === -369.42 -376.13 === === === === -394.40 -400.48 -403.57 -409.65 -410.47 === === === === -437.05 -439.69 === -449.74 === -459.51 -463.98 -470.46 -472.68 -482.58 -482.60 === === === === === === === === === === === -547.68 -552.14 -560.52 -560.04 === -575.64 === -584.01 === === 
=== === === === === -277.13 -272.60 === -271.51 -273.87 -273.91 -271.51 -272.80 === === === === === === -277.66 -279.77 === === === === -287.68 -291.15 -291.09 === -293.22 === === === === === === === -317.02 -321.33 === === === === === === === -347.49 -348.39 === === === === === === -375.59 === === === === === === -405.70 === -416.92 === === === === === -446.96 -448.93 === === === === === -479.19 -481.01 -486.50 -494.29 === === === === === === === === === -547.53 -549.25 -551.37 -557.68 === === -576.42 === -587.56 === === 
=== === === === -282.07 -280.24 === === -280.05 -276.74 === -276.17 -282.05 === === === === === === === === === === === -289.35 -289.89 === -293.49 === === === === === === === === -320.12 === -327.69 -323.41 -329.63 === -334.92 === === === === -352.73 === === === === === === -384.48 -383.97 === -394.39 === === -406.63 -411.82 -415.54 -421.57 -422.24 === === === === -449.83 -454.60 -456.78 === === === === -483.46 -489.85 -492.05 === === === === === === === === === === === -554.96 === === === === -577.16 === -587.90 === === 
=== === === === -285.47 -286.34 === === -286.96 === -283.01 -287.38 === === === === === === === === === === === === -299.13 -297.90 -297.33 -301.46 === -305.87 === === === === -319.52 -317.82 === === -331.50 -332.41 === === === -343.33 === === === === === === === === === === === === === === === === -410.70 -415.81 -423.27 === -429.92 -433.69 === === === === -456.90 -461.40 === === === === -485.17 -491.38 -492.96 === === -510.33 === === === === === === -544.74 -551.11 === === === === -577.53 -578.16 === === === === 
=== === === === === -294.82 === === -288.99 -289.46 -288.62 -288.87 === === === === === === === === === === === -300.51 -303.27 -302.43 === === === === === === === -320.31 -322.37 === -326.16 -330.23 -334.17 -339.14 -340.22 === === === === === === === === -371.32 === === === === === -395.68 === === === -413.03 === -419.98 -423.95 -428.77 -431.40 -438.50 === === === === -461.55 -467.95 -469.60 === === === -490.68 -491.99 -497.96 -502.65 === === === === === === === === -548.79 -552.59 === === === === -580.26 === === -595.08 === === 
=== === === === -301.11 -301.49 === === -297.88 === -294.22 -297.87 === === === === === === === === === === === === -311.30 -311.17 === -316.40 === === === === === === -327.46 === === === === -343.43 -344.60 === === === -355.21 === === === === -374.62 === === === === === === === === === === === === === -433.07 -438.51 -444.73 -446.32 === === === === -468.19 -469.96 === === === -495.15 === -499.35 -508.83 === === === === === -536.47 === -545.33 === === === === === -580.29 -581.14 === === === === === 
=== === === === -306.96 -305.00 === -306.54 === === -305.01 -305.67 -302.80 === === === === === === === === === === === -312.94 -317.83 === === === === === === -328.18 === === === === -342.41 === -348.58 -353.97 === === === === === === === === -382.63 -383.12 === === === === === === === === === === === -430.01 -438.55 -439.07 -444.99 -450.66 === === === === -473.00 -478.42 -482.33 === === -497.27 === -507.37 === -514.27 -522.92 === === === === -545.40 -550.86 === === === === === -580.59 === === === === === === 
