=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === -22.15 === === === -5.35 -7.34 -17.03 === === === === -42.30 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -256.19 -258.02 === === === === -293.36 === === -308.63 -317.48 === === === -341.36 -345.25 -349.67 -358.32 -361.34 -369.05 -373.24 -380.05 -388.62 -390.00 -397.24 -402.22 -411.26 === -425.23 -428.25 === === === === === === === === === -488.88 === === -509.07 -512.31 -517.91 === === 
=== === === === === === === -21.74 === -13.10 === === -13.57 -16.37 === === === -38.92 === === === === === === === === === === === === === === === === === === === === -163.82 === === === === === === === === === === === === === === === === -269.05 === === === === -297.75 -302.38 === === === === -330.69 -338.82 -343.34 -350.89 -359.37 === -367.36 -373.55 -383.04 -385.98 -395.37 -398.08 -404.51 -408.15 -418.06 -423.80 -426.08 -437.09 === -449.30 -451.65 === -463.48 === === === === -496.08 === -506.50 === -518.85 === === 
=== === === === === -35.57 === -24.74 -19.09 === === === -20.28 -21.09 === === === -39.25 === === === === === === === === === === === === === -126.07 === === === === === === === === === -183.64 === === === === === === === === === === === === === === -275.28 -276.52 === === === === === === -322.27 -325.19 -334.09 === === -350.05 === -361.77 -370.87 -377.70 -383.29 -389.33 -390.43 -398.41 -403.47 -411.81 -415.86 -420.82 -429.19 -432.90 -438.74 === -450.38 === === === === === === === === -510.22 === -519.55 === === 
=== === === === === -41.46 === -30.29 === === === === -21.51 === === === === -45.87 -46.85 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -285.73 -294.22 === === === === === -324.93 === === -343.28 -351.02 -355.89 -365.25 -368.32 -375.28 -382.81 -389.36 -392.35 -399.00 -405.24 === -417.58 -423.60 -431.33 -437.75 === === -455.15 === === -472.43 === -484.79 === === === -508.36 -512.59 -518.79 === === 
=== === === === === === -38.73 -31.57 === -29.07 === -29.52 -27.34 -30.78 === === === === === -60.25 === === === === === === === === === === === === === === === === === === -164.83 === === === === === === === === === === === -237.24 === === === === === === === === -291.09 === -304.47 === === === === === -342.69 === -350.48 -356.39 -361.02 -373.01 -374.85 -379.92 -386.05 -393.24 -398.26 -406.31 -414.69 -418.49 -426.23 === -434.04 -441.38 -447.70 -454.25 === === -472.49 -479.44 === === === === -510.56 === -518.95 === === 
=== === === -53.18 === === -41.78 -38.53 -36.66 === -31.73 === === -35.76 === === === === -56.08 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -240.36 === === === === === === === === === -298.83 === === === === === === -340.33 -345.10 -355.29 -361.00 -361.87 -373.21 -373.71 -382.21 -387.61 -392.35 -398.54 -403.59 -412.78 -420.46 -425.71 -433.14 -438.87 -440.82 -445.47 === === === === === === === === === -508.19 -516.20 -518.51 === === 
=== === === -58.54 === -49.95 -48.71 -43.11 === === === === -37.76 -42.95 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -251.06 === === === === === === === === -304.20 === === === === === === -347.45 === -357.84 -364.71 -370.63 -377.78 -384.88 -386.04 -393.72 -398.49 -407.21 -412.78 -417.67 -427.67 -432.99 -436.30 -445.46 -446.25 === === === === === -482.33 === === === -509.28 -511.91 -521.70 === === 
=== === === === === -54.38 -51.45 === -48.60 -47.56 -45.94 -44.86 -46.99 -49.69 === === === === === -70.85 === === === === === === === === === === === === === === === === === === === === === === === === === === === -226.21 -229.18 === === === === -260.09 -266.11 === === === === === -302.33 -307.49 -309.91 -318.05 -324.10 === === === === -355.20 -358.52 -366.37 === -375.01 === === === -401.73 === -416.52 -420.27 === -431.43 -437.60 -444.09 -450.92 === === -465.02 === === === === -498.79 === -508.62 -514.04 -519.73 === === 
=== === === -67.35 === === -56.45 === === -52.66 === === === -49.99 -57.45 === === === === -75.07 === === === === === === === === === === === === === === === === === === === === === === === === === === === -227.42 -229.56 === === === === === -268.37 -269.06 === === === === -300.03 -307.61 -312.88 -321.51 -323.73 === === === === === === -364.08 -370.28 -378.84 -383.03 -387.75 === -399.69 === === -419.50 -425.95 === === -444.10 === -457.50 === === === -480.90 === === === === -511.42 === -520.38 === === 
=== === === === === === -63.52 === === === === === -58.57 -57.19 === === === === === -79.32 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -234.06 -240.05 === === -256.07 === === -273.99 -280.46 === -292.67 -297.67 -304.54 -309.48 -311.55 === === === === === === === === === === === === === === -400.29 === === === -424.49 === -437.25 -442.03 -448.00 === === === -475.92 === === === === === -510.94 === -520.49 === === 
=== === === === === === -65.77 === -65.58 -63.13 -64.74 === -61.73 -66.42 === === === === === === === === === === === === === === === === === === === === === === -166.93 === === === === === === === === === === === -233.99 -240.37 -241.82 === === === === === === === === === === === === -323.74 === === === === === === -364.47 === === === === === === === === -414.19 === === === === === -451.27 === === === === === === === === === === === -523.17 === === 
=== === === -82.97 === -74.08 -75.98 === === === === === === -71.51 === === === === === -85.60 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -429.93 -437.70 === === -454.63 -457.45 === -467.45 === -482.14 === === === === === === -522.63 === === 
=== === === === === -83.11 -81.00 === === -74.88 -75.43 -75.83 === -77.25 -75.33 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -271.76 === === === === === === === === === === === === === === === === === === === === -396.39 === === === -416.73 === -431.04 === === === -451.77 === === -469.34 === === === === === === === === -524.46 === === 
=== === === === === -85.54 -83.73 -85.25 === === === === -82.89 -83.93 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -388.59 === -399.01 === === === -423.92 === === === === === === === === === === === === === === === === -526.91 === === 
=== === === === === -93.41 -89.80 -91.22 -87.27 -84.97 === === === -88.24 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -222.48 === === === === === === === === === === === === === === === === === === === === === === -357.85 === === === === === -391.21 === === === === === === === === === === === === === === === -482.37 === -493.98 === === -512.85 === -523.96 === === 
=== === === -105.30 === -95.82 -99.80 -91.97 -93.12 === === === -91.71 -94.45 === === === === === === === === === === === === === === === -144.28 === === === === === === === -185.62 -190.09 === === === -211.13 === === === === -239.88 -241.61 -251.59 -252.47 === -265.84 === -280.35 -282.75 -286.46 -296.87 === === === === === -329.42 -331.99 === -346.55 === === -363.97 === === === === -390.60 === === -408.99 === === === === === === -451.24 -456.10 === === === === === -488.96 === === === === === -525.30 === === 
=== === === -109.56 -104.41 === -101.85 === -102.46 === === === -101.20 -100.29 === === === === === === === === === === === === === === -143.86 -145.63 -152.46 -157.40 -161.66 -165.19 -173.73 -173.73 -183.29 -188.60 === -198.39 === -207.22 === === -221.86 -229.07 -234.92 -239.88 -242.15 -250.52 -256.14 -262.45 -265.79 -274.74 === -286.56 -287.71 -293.17 -300.92 === -314.50 -320.38 -325.19 === -333.65 === -348.53 -349.79 -355.76 === -370.81 === -379.64 -389.92 === -399.83 === -409.64 -415.89 === === === === === === === === === === === === === -502.25 === === === === -526.31 === === 
=== === === -111.79 === -107.46 -110.42 -107.71 === -107.56 === -107.47 -108.58 -105.33 === === === === === -117.92 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -419.72 === === === === === === -457.48 === === === === === === === -508.96 === -516.87 === -529.84 === === 
=== === === === -116.60 -114.40 -113.56 -115.31 -114.47 -111.03 === -111.55 -110.20 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -421.01 -424.83 === === === === -455.65 === === === === === -489.74 -497.14 === === -512.94 === === -528.68 === === 
=== === === -126.59 === -120.91 -122.92 -121.11 -115.52 === === -115.73 -119.46 === === === -120.73 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -423.66 -425.47 === === === === === === -465.27 === === === === === === === === === === -531.00 === === 
=== === === === -130.72 -126.58 -127.17 -126.94 === === -125.95 -124.68 -124.46 === === === === === === -136.11 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -423.30 -425.88 === === === -453.91 -455.49 === === === === === === === === === === === -525.88 -533.16 === === 
=== === === === === -135.49 -131.19 === === -132.30 -129.81 -131.64 -126.80 === === === === === === === === === === === === === === -164.43 -165.74 -169.74 -173.85 === === === === === === === === === === === === === === === === -256.05 -262.45 === === === === === === === -304.67 -306.92 -315.31 -318.96 -324.61 -332.64 -337.41 -340.48 -347.24 -352.69 -355.85 -361.73 -371.29 === === -384.95 -391.81 === -404.05 -406.51 -412.91 -418.65 === -428.46 === === === === === === === === === === === === === === === === -529.90 -536.13 === === 
=== === === === === -138.73 -139.05 -139.21 -138.03 -132.90 -137.36 -133.58 -133.55 === === === === === -145.02 === === === === === === === -166.92 -168.94 -167.76 -174.01 -177.64 === -183.98 === === === === === === === === === === === === === === === -260.69 -265.47 === === === === === === -306.20 -312.42 -312.29 -322.96 -325.08 -331.54 -335.42 -344.61 -347.79 -350.76 -356.28 === === -375.15 -381.70 -388.49 === === -405.81 === === === === === === === === === === === === === === === === === === === === === -527.85 -535.42 === === 
=== === === === === === -144.61 -141.62 === -142.36 -138.34 -139.55 === -141.65 === === === === === -150.17 === === === === === === -170.45 -171.47 -174.83 === === === -191.14 -193.74 -201.37 -205.56 === -211.59 === === -224.99 === === -243.47 === === === === === === === === === === === === -308.17 -309.17 -319.68 -322.39 -327.97 -333.83 -342.98 === -348.64 === === === === -375.71 === === === === === === === -424.04 === === === === === === === === === === === === === === === === === === -532.26 -535.35 === === 
=== === === === === -149.49 -147.84 -149.93 -148.29 -144.84 === -146.18 === === === === -153.62 -151.05 === -156.47 === === === === === === -174.31 -177.44 === -183.18 === -191.91 === -199.63 === === -212.67 -215.66 -221.14 -225.67 -231.48 === -238.69 -245.77 === -255.64 === === === === === === === === === === === -318.59 -319.29 -327.35 -330.83 -336.45 -338.85 -347.78 -351.36 -358.63 -361.24 === === -380.70 -386.97 === === -402.93 -410.03 === === === === === === -447.36 === === === === === === === === === === === -515.68 === -530.54 -537.03 -540.54 === === 
=== === === -161.10 -156.74 -157.62 -157.26 -157.10 -155.51 -153.85 -150.38 === === === === === -156.89 -157.81 -161.26 -161.46 === === === === === === -178.03 -185.52 === === -192.50 -195.27 === -206.26 === === -218.27 === -225.28 -229.40 === === -241.84 === -249.40 -258.06 -264.24 === === === === === === === === === === -319.19 -323.69 === === === -344.60 -351.29 -357.47 -363.08 === === === === === === === === === === === === === === === === === === === === === === === === === -506.11 -511.72 -516.64 === -531.30 -533.74 -538.24 === === 
=== === === === -160.80 -163.42 === -162.08 === -157.17 -158.20 -158.50 === === === === -161.68 -162.35 === -167.90 === === === === === -182.13 -182.79 -187.33 -190.81 === -199.45 === === === -214.24 -214.67 === === -227.91 -232.53 === === === -252.83 === === -267.54 === -277.89 === === === === === === === === === -327.82 -329.97 -337.97 === === -353.83 -358.62 === -368.42 -372.66 === === === === === === === === === === === === === === === === === === === === === === === -510.78 -513.05 === -528.34 -532.61 -534.01 === === === 
=== === === === -167.80 -169.18 -165.64 -164.88 -168.42 -165.61 === === === === === === === === -171.94 === === === === === === -188.87 -186.90 -194.84 === -198.79 -204.82 -206.45 === -213.90 -214.99 -218.72 === -228.41 === === === -249.07 -247.49 -253.49 -257.39 === -271.68 -275.31 -276.73 -285.67 === === === === === === === === === -333.60 === === === === -361.35 -368.16 -368.23 -379.33 -382.47 -388.15 === === === === -415.53 -419.87 === === -434.95 === === === -457.97 === === === === === === === -506.42 -512.49 === -520.83 -524.83 === === === === === 
=== === === === === -173.00 -174.69 -174.59 -171.91 -172.49 === === === === === -174.85 === -176.96 === === === === === === === -190.87 === -200.81 -204.23 === === -211.88 -215.88 -221.54 -223.62 === === -234.35 -237.17 -241.99 -245.92 === -255.21 -259.34 -263.66 -269.51 -271.02 -281.10 -282.93 -285.75 -290.92 === === === === === === === === -340.21 -340.31 === === === === === -371.99 -382.46 === -392.82 -393.08 === === === -419.09 -423.43 === === === === === === === === === === === === -498.11 -498.40 -504.88 -514.21 -516.45 -522.73 === === === === === === 
=== === === === === -180.11 -178.04 === -179.25 -178.73 === === === === === === === === === === === === === === === === === -200.23 -205.07 === === -216.78 -216.69 -223.96 -225.75 -229.75 -235.13 -234.80 -242.40 -248.34 -249.71 -251.65 -258.09 -263.16 -267.38 -273.94 -274.94 -281.35 -288.15 -290.76 -297.33 === === === === === === === === === -346.71 === -356.55 === === === === -385.84 === -391.76 -400.55 -403.83 -408.42 === -422.45 -426.53 -430.52 === === === === === -466.58 === === === === -494.97 -496.75 -503.33 -511.82 -512.27 -518.11 === === === === === === === 
=== === === === === -184.56 -183.16 -186.43 -183.92 -182.57 -181.33 -180.19 === === === -182.27 -186.46 === === === === === === === === === === === -214.55 -213.81 -215.23 -222.90 -226.81 -227.38 -230.23 -233.77 -237.64 -241.94 === === === === -261.46 === -271.41 -274.84 -279.23 -286.95 -292.39 -291.42 -301.32 -303.74 === === -319.86 -321.82 === === === === === -355.08 === === === === -378.35 === -392.42 -395.21 -399.18 -408.99 -411.10 -415.88 -424.85 -426.24 -430.41 === === === === === === === === === -491.83 -492.56 -498.85 -504.42 -512.73 -516.39 === === === === === === === === 
=== === === === -190.07 -188.92 -192.98 -190.43 -191.45 === -187.74 -191.53 -189.38 === === === -189.64 === === === === === === === === === === === === === -223.87 -224.76 -226.89 -234.25 -233.05 -237.52 === === === === === === === -272.33 -275.92 === -285.79 -289.36 -292.37 -301.62 -302.53 -306.95 -310.84 === === === === === === === === -354.74 -358.99 === === === === === === -400.60 === -409.63 -411.87 -421.53 -426.21 -429.50 === === === -453.20 === -465.12 === === === -487.64 -488.95 -494.48 -502.72 === === === === === === === === -551.95 === === 
=== === === === === -196.89 -195.72 -197.98 -198.22 -194.22 === -193.45 === === === === === === === === === === === === === === === === === === -228.91 -229.54 === -235.71 -242.68 === === === === === === === === === === === === === === -302.22 -307.50 -314.82 -315.39 -322.98 -326.06 === === === === === === === -361.93 === === === -387.02 === === === === === -416.46 -424.82 -430.64 -431.92 === === === === -459.48 === === === -485.51 -489.80 -491.88 -501.43 -502.47 -507.02 === === === === === === -550.77 -554.81 === === 
=== === === === === -202.37 -200.83 -204.40 -203.45 === === === === === -199.76 === === === === === === === === === === === === === === -230.74 === -236.10 -239.15 === -247.65 === -252.46 -257.30 === === === === === === === === === === === -306.37 -309.97 -315.72 -319.48 -322.18 -329.28 === === === === === === === -370.16 -373.15 === === -390.60 -393.68 === === === === -422.76 -426.13 -430.16 -439.53 === -446.63 === === -463.07 === === === -485.18 -490.53 -494.03 -502.08 === === === === === === === -547.07 -549.82 -554.78 === === 
=== === === === === -209.79 -209.04 -207.26 -208.68 -206.79 === -209.73 === === === === === === === === === === === === === === === === === === -237.83 -238.53 === -247.42 -251.91 -254.92 === === === === === === === === === === === === -309.41 -311.74 -313.67 -318.20 -324.02 -325.27 -336.32 -335.81 === === === === === === -372.81 -380.01 -385.25 === -392.56 -394.70 === === === === -425.15 -429.21 -432.13 === === === === === === === -474.56 -480.98 -485.67 -491.66 -496.41 === === === === === === -539.04 -543.45 -550.88 -553.92 -555.40 === === 
=== === === === === -217.69 -216.13 -213.42 -215.59 === === === === === === === === === === === === === === === === -231.54 === === === === -243.50 === === -248.67 -253.06 -256.59 === -263.62 === === === === === === === === === === -307.06 === -315.94 -325.40 -326.03 -331.70 -336.20 -340.67 -345.21 === === === === === === -382.49 -383.90 === -399.25 === === -410.15 === === -425.60 -429.34 -438.21 -440.38 === === === === === -472.90 === === -491.76 -494.21 === === === === === === === -541.62 -544.59 === -553.85 === === === 
=== === === === === -219.83 -223.20 -222.42 -221.25 -218.26 === === === === -220.53 === === === === === === === === === === === === === === -247.43 -248.39 -251.60 === -253.77 -263.20 -264.26 === === === === === === === === === === === === === === -320.42 -327.32 -329.81 -336.02 -341.47 -346.39 -349.10 === -357.20 === === === === === -389.43 -391.94 -399.02 === === === -417.05 -423.98 -428.14 -431.01 -439.87 === === === === === -471.38 -473.70 === -487.92 -491.17 === === === === === === === -536.22 === === -554.02 -556.46 === === === 
=== === === === === -229.60 -225.16 -223.28 -228.33 === === === === === === === === === === === === === === === === === === === === === -253.89 -255.93 === -262.90 -265.14 === === === === === === === -294.53 === === === === === === === -328.18 -329.43 -334.00 -341.16 -343.19 -348.29 -352.63 === -364.17 === === === === === -394.05 -395.51 === === -412.11 === === === === -434.18 -443.16 -446.40 === === -467.10 === -475.80 === -485.06 === === === === === === === === === === -544.90 === -556.23 === === === === 
=== === === === -232.48 -232.13 -232.30 === === -229.37 === -233.11 === === === === === === === === === === === === === === === === === -253.46 -258.63 === -266.31 === -273.77 -271.68 === -279.98 === === === === === === === === === === === === -329.68 === -337.57 -344.16 -350.16 -354.80 -357.95 -364.02 -369.06 === === === === === === -400.48 -404.88 === === === === -431.11 -436.85 -439.64 -448.60 -450.06 === === === === === -483.26 === === === === === === === -526.67 === === === === -554.64 -555.25 === === === === 
=== === === === === -236.87 -240.56 === -235.20 === === === === === === === === === === === === === === === === === === === === -259.13 -262.46 -267.41 === === -279.23 -280.03 === -287.61 === === === === === === === === === === === === === === -340.14 -346.54 -353.70 -358.63 -361.11 -364.40 === === -379.69 === === === === -404.04 -409.00 === === === === -434.46 === -447.00 -449.33 -451.54 === === === -476.26 -478.51 -482.45 === === === === === === -521.55 === === === -541.99 === -555.31 -557.23 === === === === 
=== === === === -248.63 -244.99 -243.92 === === === -244.81 === -240.74 === === === === === === === === === === === === === === === === === -270.25 -269.09 === -278.18 -281.58 -280.42 -288.21 === -295.16 === === -302.38 === === === === === === === === === === === -353.54 -355.17 -361.41 -363.99 -371.88 -376.60 === === === === === === === -412.80 -417.54 === === === === === === -452.35 -457.83 -464.41 -467.43 -468.83 -474.71 === === === === === === === === -521.52 === === === === === -554.32 === === === === === 
=== === === === -250.73 -253.43 -250.30 -249.27 === === === === === === === === === === === === === === === -259.47 === === === -265.04 -273.16 -273.15 -274.75 -277.04 === === === -288.07 === -294.95 -299.39 -301.51 === === === === === === === === === === === -347.02 === -354.35 -362.51 -367.36 -369.91 -374.80 === === === === === === === === -416.51 -420.27 === === === -440.13 === === -455.92 -460.89 -467.16 -473.23 -474.60 === === === === === === === === === === === === -544.05 === -555.99 === === === === === === 
=== === === === -260.60 -258.37 -254.60 -257.38 -257.66 === -255.81 === === === === === === === === === === === === === === === -268.92 -276.78 === === -281.84 -280.34 -282.98 -287.95 === -296.10 -298.80 -302.42 -304.68 -307.64 -310.57 === === === === === === === === === === === === -360.00 -366.95 -370.20 -375.13 -380.33 -381.04 -386.98 === === === === === === === -426.56 -425.72 === -439.84 -443.05 -448.70 -456.21 -458.07 -466.68 === -473.92 === === === === === === === === === === === === -540.94 === === -554.63 === === === === === === 
=== === === === -261.69 -261.14 -259.79 === === === -262.63 === === === === === === === === === === === === === === === === === -280.46 -281.50 === === === === -297.47 === === -304.18 -307.96 === -314.19 === === === === === === === === === === === === === === === -379.09 -383.55 -385.26 -389.50 -393.77 === -405.82 === === === === === -431.87 -437.23 -444.65 -447.73 -449.93 -456.02 -460.49 -467.66 -469.71 -473.94 === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === -267.86 -266.62 === === -265.20 === === === === === === === === === === === === === === === === === -284.01 === -288.22 -290.89 -296.38 -298.79 -299.10 === -307.03 === -308.26 === === === -324.43 -330.07 === === === === === === === === === === === === === -382.01 -388.95 -389.55 -396.16 === -403.05 === === === === === === -438.91 -437.30 -446.41 -450.28 -454.03 -459.41 -467.79 -469.75 === -476.92 -483.28 === === === === === === === === === -538.51 === === -548.05 === === === === === === === === 
=== === === === === -277.51 -274.61 === -272.72 -273.23 === === === === === === === === === === === === === -284.69 === === -290.48 -290.16 -294.63 -292.79 -294.79 -300.74 === -302.22 -306.95 -306.86 -313.23 === === -323.37 === === === -338.41 === === === === === === === === === === -381.39 -382.58 -388.02 -393.59 -395.16 -399.18 -401.31 -407.87 -412.06 -418.27 === === === === === -443.01 -451.12 -453.20 === === === -474.78 === === === === === === === === === === === === === === -550.31 -551.57 -557.06 -564.49 === === === === === === 
=== === === === === -282.35 -278.52 -281.70 === === === === === === === === === === === === === === -285.34 === === === -296.27 -294.08 === -303.36 -304.75 === === -310.04 -313.71 === === === === -324.49 === === === === === === === === === === === === === === === === -389.43 -397.56 -396.64 -402.92 -407.56 -411.08 -415.99 === === === === === === -451.43 -455.07 -457.57 === === === === === === === === === === === === === === === === === -550.36 -555.12 -557.59 === === === === === === === === 
=== === === === === -287.58 -288.21 === -287.10 === === === === === === === === === === === === === === -293.14 === === -301.93 -297.99 === -306.24 -311.16 -308.09 -311.97 === === -319.42 === === === === === === === === === === === === === === === === === === === -390.04 -397.26 -398.69 -405.26 -410.36 -412.02 -418.29 -419.91 === === === === === === === -456.37 -458.59 === -469.99 -475.88 === === === === === === === === === === === === === -546.38 -551.93 -557.54 -557.87 === === === === === === === === 
=== === === === === -294.51 -294.96 === -288.53 -289.89 === === === === === === === === === === === === === === === -303.19 === -307.91 -310.20 -312.70 -313.30 -319.44 === === === === === === === === === === -348.30 === === === -361.41 === === === === === === === === === -402.42 -405.66 -408.44 -414.03 -416.34 -419.65 -423.60 === === === === === === === -460.90 -466.19 -468.94 -477.88 === === === === === === === === === === === === === -545.75 -552.11 -554.82 -560.13 -560.28 === === === === === === === === 
=== === === === === -297.45 -296.76 === -296.75 === === === === === === === === === === === === === === === === -310.86 -310.72 -313.48 -317.90 -316.91 -322.34 -318.05 === === -325.50 === === === -340.31 === === -347.49 === === === === === === === === === === === === === -401.17 === -410.47 -411.04 -415.52 -419.54 -422.67 -425.52 === -435.33 === === === === === === -466.60 -473.50 === === -491.15 === === === === === === === === === === === === -553.18 -560.43 -560.75 -568.83 === === === === === === === === 
=== === === === === -303.72 -303.84 -304.51 -305.50 === === === === === === === === === === === === -311.77 -308.63 -312.48 === -315.37 -315.18 -319.17 -318.99 -320.22 -324.69 === === === -336.57 === -337.86 === === === === === === -358.02 === === -368.59 === === === === === === === === === -407.67 === -413.49 -418.06 -424.09 -427.71 -436.09 === === === === === === === === -472.44 -474.33 === === === -494.66 === === === === === === === === === === === === -562.23 -562.13 -568.65 === === === === === === === === 
